,Episode,Rating
0,Help Wanted,1
1,Reef Blower,1
2,Tea at the Treedome,1
3,BubbleStand,1
4,Ripped Pants,1
5,Jellyfishing,1
6,Plankton!,1
7,Naughty Nautical Neighbors,1
8,Boating School,1
9,Pizza Delivery,1
10,Home Sweet Pineapple,1
11,Mermaidman and Barnacleboy,1
12,Pickles,1
13,Hall Monitor,1
14,Jellyfish Jam,1
15,Sandy's Rocket,1
16,Squeaky Boots,1
17,Nature Pants,1
18,Opposite Day,1
19,Culture Shock,1
20,F.U.N.,1
21,MuscleBob BuffPants,1
22,Squidward the Unfriendly Ghost,1
23,The Chaperone,1
24,Employee of the Month,1
25,Scaredy Pants,1
26,I Was a Teenage Gary,1
27,SB-129,1
28,Karate Choppers,1
29,Sleepy Time,1
30,Suds,1
31,Valentine's Day,1
32,The Paper,1
33,Arrgh!,1
34,Rock Bottom,1
35,Texas,1
36,Walking Small,1
37,Fools in April,1
38,Neptune's Spatula,1
39,Hooky,1
40,Mermaidman and Barnacleboy II,1
41,Something Smells,1
42,Bossy Boots,1
43,Your Shoe's Untied,1
44,Squid's Day Off,1
45,Big Pink Loser,1
46,Bubble Buddy,1
47,Dying for Pie,1
48,Imitation Krabs,1
49,Wormy,1
50,Patty Hype,1
51,Grandma's Kisses,1
52,Squidville,1
53,PreHibernation Week,1
54,Life of Crime,1
55,Christmas Who?,1
56,Survival of the Idiots,1
57,Dumped,1
58,No Free Rides,1
59,I'm Your Biggest Fanatic,1
60,Mermaidman and Barnacleboy III,1
61,Squirrel Jokes,1
62,Pressure,1
63,The Smoking Peanut,1
64,Shanghaied,1
65,Gary Takes a Bath,1
66,Welcome to the Chum Bucket,1
67,Frankendoodle,1
68,The Secret Box,1
69,Band Geeks,1
70,Graveyard Shift,1
71,Krusty Love,1
72,Procrastination,1
73,I'm with Stupid,1
74,Sailor Mouth,1
75,Artist Unknown,1
76,Jellyfish Hunter,1
77,The Fry Cook Games,1
78,Squid on Strike,1
79,"Sandy, SpongeBob, and the Worm",1
80,The Algae's Always Greener,1
81,SpongeGuard on Duty,1
82,Club SpongeBob,1
83,My Pretty Seahorse,1
84,Just One Bite,1
85,The Bully,1
86,Nasty Patty,1
87,Idiot Box,1
88,Mermaidman and Barnacleboy IV,1
89,Doing Time,1
90,Snowball Effect,1
91,One Krab's Trash,1
92,As Seen on TV,1
93,Can You Spare a Dime?,1
94,No Weenies Allowed,1
95,Squilliam Returns,1
96,Krab Borg,1
97,Rock-a-Bye Bivalve,1
98,Wet Painters,1
99,Krusty Krab Training Video,1
100,SpongeBob's House Party (Party Pooper Pants),1
101,Chocolate with Nuts,1
102,Mermaidman and Barnacleboy V,1
103,New Student Starfish,1
104,Clams,1
105,SpongeBob B.C. (Before Comedy) (Ugh),1
106,The Great Snail Race,1
107,Mid-Life Crustacean,1
108,Born Again Krabs,1
109,I Had an Accident,1
110,Krabby Land,1
111,The Camping Episode,1
112,Missing Identity,1
113,Plankton's Army,1
114,The Sponge Who Could Fly,1
115,SpongeBob Meets the Strangler,1
116,Pranks a Lot,1
117,Fear of a Krabby Patty,1
118,Shell of a Man,1
119,The Lost Mattress,1
120,Krabs vs. Plankton,1
121,Have You Seen This Snail?,1
122,Skill Crane,0
123,Good Neighbors,0
124,Selling Out,0
125,Funny Pants,0
126,Dunces and Dragons,1
127,Enemy In-Law,1
128,Mermaidman and Barnacleboy VI: The Motion Picture,1
129,Patrick SmartPants,1
130,SquidBob TentaclePants,1
131,Krusty Towers,1
132,"Mrs. Puff, You're Fired",1
133,Chimps Ahoy,0
134,Ghost Host,0
135,Whale of a Birthday,0
136,Karate Island,0
137,All That Glitters,0
138,Wishing You Well,0
139,New Leaf,0
140,Once Bitten,0
141,Bummer Vacation,0
142,Wigstruck,0
143,Squidtastic Voyage,0
144,That's No Lady,0
145,The Thing,0
146,Hocus Pocus,0
147,Driven to Tears,0
148,Rule of Dumb,0
149,Born to Be Wild,1
150,Best Frenemies,1
151,The Pink Purloiner,0
152,Squid Wood,0
153,Best Day Ever,0
154,The Gift of Gum,0
155,Friend or Foe,1
156,The Original Fry Cook,0
157,Night Light,0
158,Rise and Shine,0
159,Waiting,0
160,Fungus Among Us,0
161,Spy Buddies,0
162,Boat Smarts,0
163,Good Ol' Whatshisname,0
164,New Digs,1
165,Krabs á la Mode,1
166,Roller Cowards,1
167,"Bucket, Sweet Bucket",1
168,To Love a Patty,0
169,Breath of Fresh Squidward,0
170,Money Talks,0
171,SpongeBob vs. The Patty Gadget,0
172,Slimy Dancing,0
173,The Krusty Sponge,1
174,Sing a Song of Patrick,1
175,A Flea in Her Dome,0
176,The Donut of Shame,0
177,The Krusty Plate,0
178,Goo Goo Gas,0
179,Le Big Switch,0
180,Atlantis SquarePantis,0
181,Picture Day,0
182,Pat No Pay,0
183,Blackjack,0
184,Blackened Sponge,0
185,Mermaidman vs. SpongeBob,0
186,The Inmates of Summer,0
187,To Save a Squirrel,0
188,Pest of the West,0
189,"20,000 Patties Under the Sea",0
190,The Battle of Bikini Bottom,0
191,Whatever Happened to SpongeBob? (WhoBob WhatPants),0
192,The Two Faces of Squidward,0
193,SpongeHenge,0
194,Banned in Bikini Bottom,0
195,Stanley S. SquarePants,0
196,House Fancy,0
197,Krabby Road,0
198,Penny Foolish,0
199,Nautical Novice,0
200,Spongicus,0
201,Suction Cup Symphony,0
202,Not Normal,0
203,Gone,0
204,The Splinter,0
205,Slide Whistle Stooges,0
206,A Life in a Day,0
207,Sun Bleached,0
208,Giant Squidward,0
209,No Nose Knows,0
210,The Patty Caper,0
211,Plankton's Regular,0
212,Boating Buddies,0
213,The Krabby Kronicle,0
214,The Slumber Party,0
215,Grooming Gary,0
216,SpongeBob SquarePants vs. The Big One,0
217,Porous Pockets,0
218,Choir Boys,0
219,Krusty Krushers,0
220,The Card,0
221,Dear Vikings,0
222,Ditchin',0
223,Grandpappy the Pirate,0
224,Cephalopod Lodge,0
225,Squid's Visit,0
226,To Squarepants or Not to Squarepants,0
227,Shuffleboarding,0
228,Professor Squidward,0
229,Pet or Pests,0
230,Komputer Overload,0
231,Gullible Pants,0
232,Overbooked,0
233,No Hat for Pat,0
234,Toy Store of Doom,0
235,Sand Castles in the Sand,1
236,Shell Shocked,1
237,Chum Bucket Supreme,0
238,Single Cell Anniversary,0
239,Truth or Square,0
240,Pineapple Fever,0
241,Chum Caverns,0
242,The Clash of Triton,0
243,Tentacle-Vision,0
244,I Heart Dancing,0
245,Growth Spout,0
246,Stuck in the Wringer,0
247,Someone's in the Kitchen with Sandy,0
248,The Inside Job,0
249,Greasy Buffoons,0
250,Model Sponge,0
251,Keep Bikini Bottom Beautiful,0
252,A Pal for Gary,0
253,"Yours, Mine and Mine",0
254,Kracked Krabs,0
255,The Curse of Bikini Bottom,0
256,Squidward in Clarinetland,0
257,SpongeBob's Last Stand,0
258,Back to the Past,0
259,The Bad Guy Club for Villains,0
260,A Day Without Tears,0
261,Summer Job,0
262,One Coarse Meal,0
263,Gary in Love,0
264,The Play's the Thing,0
265,Rodeo Daze,0
266,Gramma's Secret Recipe,0
267,The Cent of Money,0
268,The Monster Who Came to Bikini Bottom,0
269,Welcome to the Bikini Bottom Triangle,0
270,The Curse of the Hex,0
271,The Main Drain,0
272,Trenchbillies,0
273,Sponge-Cano!,0
274,The Great Patty Caper,0
275,That Sinking Feeling,0
276,Karate Star,0
277,Buried in Time,0
278,Enchanted Tiki Dreams,0
279,The Abrasive Side,0
280,Earworm,0
281,Hide and Then What Happens?,0
282,Shellback Shenanigans,0
283,The Masterpiece,0
284,Whelk Attack,0
285,You Don't Know Sponge,0
286,Tunnel of Glove,0
287,Krusty Dogs,0
288,The Wreck of the Mauna Loa,0
289,New Fish in Town,0
290,Love That Squid,0
291,Big Sister Sam,0
292,Perfect Chemistry,0
293,Accidents Will Happen,0
294,The Other Patty,0
295,Drive Thru,0
296,The Hot Shot,0
297,A Friendly Game,0
298,Sentimental Sponge,0
299,Frozen Face-Off,0
300,Squidward's School for Grown Ups,0
301,Oral Report,0
302,Sweet and Sour Squid,0
303,The Googly Artiste,0
304,SquarePants Family Vacation,0
305,Patrick's Staycation,0
306,Walking the Plankton,0
307,Mooncation,0
308,Mr. Krabs Takes a Vacation,0
309,Ghoul Fools,0
310,Mermaid Man Begins,0
311,Plankton's Good Eye,0
312,Barnacle Face,0
313,Pet Sitter Pat,0
314,House Sittin' for Sandy,0
315,Smoothe Jazz at Bikini Bottom,0
316,The Way of the Sponge,0
317,Bubble Troubles,0
318,The Krabby Patty That Ate Bikini Bottom,0
319,Bubble Buddy Returns,0
320,Restraining SpongeBob,0
321,Fiasco!,0
322,Are You Happy Now?,0
323,Planet of the Jellyfish,0
324,Free Samples,0
325,Home Sweet Rubble,0
326,Karen 2.0,0
327,InSpongeiac,0
328,Face Freeze!,0
329,Glove World R.I.P.,0
330,Squiditis,0
331,Demolition Doofus,0
332,Treats!,0
333,For Here or to Go,0
334,It's a SpongeBob Christmas!,0
335,Super Evil Aquatic Villain Team Up Is Go!,0
336,Chum Fricassee,0
337,The Good Krabby Name,0
338,Move It or Lose It,0
339,Hello Bikini Bottom!,0
340,Extreme Spots,0
341,Squirrel Record,0
342,Patrick-Man!,0
343,Gary's New Toy,0
344,License to Milkshake,0
345,Squid Baby,0
346,Little Yellow Book,0
347,Bumper to Bumper,0
348,"Eek, an Urchin!",0
349,Squid Defense,0
350,Jailbreak!,1
351,Evil Spatula,1
352,It Came from Goo Lagoon,0
353,Safe Deposit Krabs,1
354,Plankton's Pet,1
355,Don't Look Now,1
356,Séance Shméance,1
357,Kenny the Cat,0
358,Yeti Krabs,0
359,"SpongeBob, You're Fired",0
360,Lost in Bikini Bottom,1
361,Tutor Sauce,1
362,Squid Plus One,1
363,The Executive Treatment,1
364,Company Picnic,1
365,Pull Up a Barrel,1
366,Sanctuary!,1
367,What's Eating Patrick?,1
368,Patrick! The Game,1
369,The Sewers of Bikini Bottom,1
370,SpongeBob LongPants,1
371,Larry's Gym,1
372,The Fish Bowl,0
373,Married to Money,0
374,Mall Girl Pearl,1
375,Two Thumbs Down,1
376,Sharks vs. Pods,1
377,CopyBob DittoPants,1
378,Sold!,1
379,Lame and Fortune,1
380,"Goodbye, Krabby Patty?",1
381,Sandy's Nutmare,1
382,Bulletin Board,1
383,Food Con Castaways,1
384,Snail Mail,1
385,Pineapple Invasion,1
386,Salsa Imbecilicus,1
387,Mutiny on the Krusty,1
388,The Whole Tooth,1
389,Whirly Brains,0
390,MermaidPants,0
391,Unreal Estate,1
392,Code Yellow,1
393,Mimic Madness,1
394,House Worming,1
395,Snooze You Lose,1
396,Krusty Katering,1
397,SpongeBob's Place,1
398,Plankton Gets the Boot,1
399,Life Insurance,1
400,Burst Your Bubble,1
401,Plankton Retires,1
402,Trident Trouble,1
403,The Incredible Shrinking Sponge,1
404,Sportz?,1
405,The Getaway,1
406,Lost and Found,1
407,Patrick's Coupon,0
408,Out of the Picture,0
409,Feral Friends,1
410,Don't Wake Patrick,1
411,Cave Dwelling Sponge,1
412,The Clam Whisperer,1
413,Spot Returns,1
414,The Check-Up,1
415,Spin the Bottle,1
416,There's a Sponge in My Soup,1
417,Man Ray Returns,1
418,Larry the Floor Manager,1
419,The Legend of Boo-Kini Bottom,1
420,No Pictures Please,1
421,Stuck on the Roof,1
422,Krabby Patty Creature Feature,1
423,Teacher's Pests,1
424,Sanitation Insanity,0
425,Bunny Hunt,0
426,Squid Noir,1
427,Scavenger Pants,1
428,Cuddle E. Hugs,0
429,Pat the Horse,0
430,Chatterbox Gary,0
431,Don't Feed the Clowns,0
432,Drive Happy,1
433,Old Man Patrick,1
434,Fun-Sized Friends,0
435,Grandmum's the Word,0
436,Doodle Dimension,1
437,Moving Bubble Bass,1
438,High Sea Diving,1
439,Bottle Burglars,1
440,My Leg!,0
441,Ink Lemonade,0
442,Mustard O' Mine,1
443,Shopping List,1
444,Whale Watching,1
445,Krusty Kleaners,1
446,Patnocchio,0
447,ChefBob,0
448,Plankton Paranoia,0
449,Library Cards,0
450,Call the Cops,0
451,Surf n' Turf,0
452,Goons on the Moon,1
453,Appointment TV,1
454,Karen's Virus,1
455,The Grill is Gone,0
456,The Night Patty,0
457,Bubble Town,0
458,Girls' Night Out,0
459,Squirrel Jelly,1
460,The String,1
461,FarmerBob,0
462,Gary & Spot,0
463,The Nitwitting,0
464,The Ballad of Filthy Muck,0
465,The Krusty Slammer,0
466,Pineapple RV,0
467,Gary's Got Legs,1
468,King Plankton,1
469,Plankton's Old Chum,1
470,Stormy Weather,1
471,Swamp Mates,1
472,One Trick Sponge,1
473,The Krusty Bucket,1
474,Squid's on a Bus,1
475,Sandy's Nutty Nieces,1
476,Insecurity Guards,1
477,Broken Alarm,1
478,Karen's Baby,1
479,Shell Games,1
480,Senior Discount,1
481,Mind the Gap,1
482,Dirty Bubble Returns,1
483,Jolly Lodgers,1
484,Biddy Sitting,1
485,SpongeBob's Big Birthday Blowout,1
486,SpongeBob in RandomLand,0
487,SpongeBob's Bad Habit,0
488,Handemonium,0
489,Breakin',0
490,Boss for a Day,1
491,The Goofy Newbie,1
492,The Ghost of Plankton,1
493,My Two Krabses,1
494,Lighthouse Louie,1
495,Hiccup Plague,1
496,A Cabin in the Kelp,0
497,The Hankering,0
498,Who R Zoo?,0
499,Kwarantined Krab,0
500,Escape from Beneath Glove World,1
501,Krusty Koncessionaires,1
502,Dream Hoppers,1
503,A Place for Pets,1
504,Lockdown for Love,1
